!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
"Researcher, Gender Equality Metrics","University of Washington, Institute for Health Metrics and Evaluation",https://www.healthdata.org/about/careers/job-openings/researcher-temporary-gem,"Seattle metro area.USA,Remote.USA",2026-06-08,1/1/2050,A. Global health & development,"* In this role, you'll conduct quantitative analyses and statistical modelling to produce estimates for the Gender Equality Metrics team.
* Extract data from various sources and databases, then format, transform, and assess data quality and relevance.
* Apply computational and statistical tools to preprocess, analyse, and visualise source data systematically.
* Document code and analytic approaches to ensure replication and enable team collaboration.
* Lead discussions in research meetings to vet and improve results while contributing to scientific publications.",Master's degree,Junior (1-4 years experience),"Research, Software engineering",Full-time,"$7,723 - $9,318 per month",http://www.healthdata.org/,https://www.healthdata.org/get-involved/careers,https://80000hours.org/wp-content/uploads/2020/08/Institute-for-Health-Metrics-and-Evaluation.png,
"Request for Proposals, Part-Time SEO and GEO Consultant",Effective Altruism Hong Kong,https://www.eahongkong.org/rfp-seo-consultant,Remote.Global,2026-06-05,1/1/2050,5. Building effective altruism,"* In this role, you'll improve EAHK's and GiveWise's organic visibility through SEO and GEO optimisation for search engines and AI engines.
* Conduct baseline audits of websites and search presence, including technical, on-page, and content factors.
* Research keywords and topics relevant to effective altruism, philanthropy, and related themes for Hong Kong audiences.
* Implement improvements to page elements, technical infrastructure, and content to strengthen search visibility and AI discoverability.
* Establish performance tracking and monthly reporting to guide ongoing optimisation.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Part-time,Not Found,https://www.eahongkong.org/,https://www.eahongkong.org/join-our-team,https://80000hours.org/wp-content/uploads/2026/03/ea_hong_kong_logo.jpeg,
"Research Scientist, Biological Safety",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5066977008,"San Francisco Bay Area.USA,""New York, NY.USA""",2026-01-14,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","* In this role, you'll build safety mechanisms for AI systems in biological domains, balancing AI's potential to accelerate life sciences while preventing misuse by threat actors.
* Design and execute capability evaluations to assess AI models' capabilities and risks.
* Collaborate with experts to develop training data for safety systems robust against adversarial attacks.
* Analyze system performance and stress-test safeguards against evolving threats.
* Partner with research and policy teams to embed biological safety throughout the model development lifecycle.",Undergraduate degree or less,Mid (5-9 years experience),Research,Full-time,"$245,000 - $285,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Technical Threat Investigator, Chemical, Biological, Radiological, Nuclear, and Explosives",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5066997008,"San Francisco Bay Area.USA,""New York, NY.USA""",2026-01-14,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","* In this role, you'll protect against the misuse of AI systems for CBRN-E threats and weapons development.
* Conduct technical investigations using SQL and Python to analyze data patterns and uncover sophisticated threat actors.
* Develop specialized detection capabilities and methodologies tailored to dual-use research concerns.
* Create actionable intelligence reports on attack vectors, vulnerabilities, and threat actor tactics.
* Collaborate with policy teams and external stakeholders to implement appropriate mitigation actions.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Information security",Full-time,"$230,000 - $290,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
General Application,Coefficient Giving,https://jobs.ashbyhq.com/coefficientgiving/2cc48fa8-97aa-47d8-b367-bf3b66cdba3f,San Francisco Bay Area.USA,2022-07-13,1/1/2050,"5. Building effective altruism,1. AI safety & policy,2. Biosecurity & pandemic preparedness,A. Global health & development,4. Macrostrategy","""Fill out the form below to let us know you'd be interested in working at Open Philanthropy. It's okay if you're not sure what kind of role you'd be interested in or might not be available right away. We'll review general applications on a rolling basis and reach out if we think you might be a good fit. We're looking forward to hearing from you!""",Undergraduate degree or less,Multiple experience levels,"Operations, Research",Full-time,Not Found,https://coefficientgiving.org/,https://coefficientgiving.org/about-us/careers/,https://80000hours.org/wp-content/uploads/2025/11/coefficient_giving_logo.jpg,
"Expression of Interest, Pannu Lab","Johns Hopkins University, Center for Health Security",https://forms.gle/q7iwQB2VvurjMiT4A,"""Washington, DC metro area.USA"",Remote.Global",2025-12-09,1/1/2050,"2. Biosecurity & pandemic preparedness,1. AI safety & policy","* In this role, you'll conduct research on biosecurity topics including AI for biology, biosafety of AI, resilience approaches, and dual-use synthetic biology.
* Perform both technical and policy work across multiple biosecurity domains.
* Engage directly with stakeholders on sensitive biosecurity matters.
* Contribute to public research publications and non-public projects.
* Develop expertise at the intersection of emerging technologies and biosecurity.",Master's degree,Multiple experience levels,Research,Full-time,Not Found,https://www.centerforhealthsecurity.org/,https://www.centerforhealthsecurity.org/who-we-are/work-with-us/,https://80000hours.org/wp-content/uploads/2020/04/Johns-hopkins-university.png,
"Team Member, Model Policy, Chemical and Biological Risk",OpenAI,https://openai.com/careers/model-policy-chemical-and-biological-risk-san-francisco/,San Francisco Bay Area.USA,2026-05-15,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","* In this role, you'll shape policy for addressing biological and chemical risks in frontier AI systems.
* Design and maintain model policies governing chemical and biological risk.
* Develop structured taxonomies of chemical and biological risk for model training and evaluation.
* Translate biosecurity expertise into actionable model behavior with research and engineering teams.
* Identify emerging risk vectors where AI capabilities could enable harmful activity.",Undergraduate degree or less,Mid (5-9 years experience),Strategy,Full-time,"$207,000 - $295,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
"Research Manager, Interpretability",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4980436008,San Francisco Bay Area.USA,2025-11-10,1/1/2050,1. AI safety & policy,"* In this role, you'll manage a team of researchers and engineers working to understand the internal mechanisms of large language models for AI safety.
* Partner with research leads to translate cutting-edge research ideas into tangible goals and oversee their execution.
* Coach team members to maximize their impact while supporting their career development.
* Drive recruiting efforts including hiring planning, process improvements, and candidate sourcing.
* Facilitate collaboration across teams and communicate research progress to leadership.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Management, Research",Full-time,"$340,000 - $425,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Research Scientist, Interpretability",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4980427008,San Francisco Bay Area.USA,2025-11-10,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct research to reverse-engineer how language models work, developing a mechanistic understanding to make advanced AI systems safer.
* Develop methods for understanding LLMs by reverse engineering algorithms learned in their weights.
* Design and run robust experiments in both toy scenarios and at scale in large models.
* Create and analyze new interpretability features and circuits to better understand how models work.
* Build infrastructure for experiments and visualize results while communicating findings effectively.",Undergraduate degree or less,Junior (1-4 years experience),"Research, Software engineering",Full-time,"$315,000 - $560,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Evaluators, Systematic Reviews",Elicit,https://docs.google.com/forms/d/1cYNcejGHniGJ4Cvi_SCWuuGWK5C5f_zOnQENa1rLldQ/viewform?edit_requested=true,Remote.Global,2024-10-29,1/1/2050,1. AI safety & policy,"- In this role, you'll evaluate reviews written with Elicit's help in life sciences and social science. Reviews will be on topics of your choice, providing in-depth analysis. 
- Ensure evaluations are of high quality to improve Elicit's output. 
- Work will be available intermittently.",Doctoral degree,Entry-level,Research,Full-time,$55 per hour,https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
Frontend Engineer,Elicit,https://elicit.com/careers?ashby_jid=b5e218b8-8730-4254-b026-1fe2fe02c3eb,"Remote.USA,San Francisco Bay Area.USA",2024-12-18,1/1/2050,1. AI safety & policy,"- In this role, you'll help us meet demand growth while pushing the bar for quality and user experience higher.
- Build Elicit into a product that researchers can’t live without by working with a modern front-end stack.
- Own shipping useful, exciting features to users on a weekly basis, balancing short-term delivery with long-term system building.
- Advocate for smooth user workflows and ensure the product looks great and is delightful to use.
- Contribute to discussions around UX, system design, and architecture, appreciating the user needs underlying your work.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Software engineering,Full-time,"$180,000 - $225,000",https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
Machine Learning Engineer,Elicit,https://elicit.com/careers?ashby_jid=913a03d5-bd26-4c64-8346-21a029f344f7,"Remote.USA,San Francisco Bay Area.USA",2024-12-18,1/1/2050,1. AI safety & policy,"- As an ML research engineer at Elicit, you will compose together tens to thousands of calls to language models to accomplish tasks that can't be accomplished with a single call.
- Curate datasets for fine-tuning models, e.g., for training models to extract policy conclusions from papers.
- Set up evaluation metrics that determine what changes to models or training setups qualify as improvements.
- Scale up semantic search from a few thousand documents to 100k documents.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Software engineering,Full-time,"$195,000 - $250,000",https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
ML Research Resident (Q1 2025),Elicit,https://elicit.com/careers?ashby_jid=e04136b7-57e5-44d5-9a7c-cced3e2cb0f8,"Remote.USA,San Francisco Bay Area.USA",2024-12-18,1/1/2050,1. AI safety & policy,"- In this role, you'll work for 3 months on developing computational procedures that can reliably improve a knowledge state over thousands of iterations.
- Focus on designing and testing improvement operators that maintain stability over 1000 iterations while making genuine progress.
- Start with simple cases like shallow refactoring of scientific papers and demonstrate reliable iteration before scaling up to complex tasks.
- Develop systems that perform legible reasoning over long horizons to address core challenges in AI transparency and scalable reasoning.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Research,Full-time,"$12,000 - 15,000 per month",https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
Data Scientist,Epoch AI,https://jobs.lever.co/epoch-ai/ab88ba6e-6a92-44cc-8830-a2dafca31f1a,Remote.Global,2025-12-23,1/1/2050,1. AI safety & policy,"* In this role, you'll gather and analyze data on AI technologies and infrastructure to inform research and policy decisions.
* Review technical literature and extract key details about model architectures and AI advancements.
* Track and compile benchmark scores and performance metrics from various AI systems.
* Analyze financial disclosures and news media for insights about AI companies.
* Produce informed estimates on the physical infrastructure supporting AI development.",Undergraduate degree or less,Junior (1-4 years experience),Research,Full-time,$30 - $40 per hour,https://epoch.ai,https://epoch.ai/about/careers,https://80000hours.org/wp-content/uploads/2024/11/epoch_ai_logo.jpeg,checked
"Student Intern, Machine Learning, Safety, Security and Privacy (Expression of Interest)",Google DeepMind,https://docs.google.com/forms/d/e/1FAIpQLSemEPS7apiFoQiv91EX5cz0GWSUBcUhuiDeKGLwWrHoiJd4nw/viewform,London.UK,2023-10-19,1/1/2050,1. AI safety & policy,"""With this form we are trying to measure interest in in-person student internships at Google DeepMind, London. During the internship the student will be expected to conduct research at the intersection of Machine Learning, Safety, Security and Privacy. Note that the position is only open to students current enrolled into Bachelor's, Master's or PhD programmes.""",Master's degree,Entry-level,"Software engineering, Information security",Internship,Not Found,https://www.deepmind.com,https://deepmind.com/careers/jobs,https://80000hours.org/wp-content/uploads/2022/12/DeepMind.png,checked
"Short Course, AGI Safety",Google DeepMind,https://deepmindsafetyresearch.medium.com/introducing-our-short-course-on-agi-safety-1072adb7912c,Remote.Global,2026-06-05,1/1/2050,1. AI safety & policy,"* This course teaches core concepts in AI alignment and AGI safety through 75 minutes of recorded talks and exercises.
* Covers alignment problems arising from misaligned goals, including specification gaming and goal misgeneralization.
* Explores technical alignment approaches covering amplified oversight, interpretability, security and safer design patterns.
* Examines institutional governance approaches to AI safety, including frontier safety practices and capability evaluations.",Undergraduate degree or less,Entry-level,Other,Course,Not Found,https://www.deepmind.com,https://deepmind.com/careers/jobs,https://80000hours.org/wp-content/uploads/2022/12/DeepMind.png,
Technical Governance Researcher,Machine Intelligence Research Institute ,https://jobs.ashbyhq.com/miri/54142b55-b061-4f11-980e-73d9986ff1b9,San Francisco Bay Area.USA,2025-11-12,1/1/2050,1. AI safety & policy,"* In this role, you'll research and design technical aspects of AI regulations to reduce existential risks from advanced AI.
* Develop threat models identifying how AI systems could cause harm and propose preventative measures.
* Evaluate AI models to demonstrate failure modes and limitations in current policy approaches.
* Prepare briefings for policymakers on technical AI safety concepts and present findings to non-experts.
* Design improved AI governance frameworks focusing particularly on risks from superintelligent systems.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Policy",Full-time,"$120,000 - $200,000",https://www.intelligence.org,https://intelligence.org/careers/,https://cdn.80000hours.org/wp-content/uploads/2017/03/miri_logo2-150x150.png,checked
"Researcher, Alignment",OpenAI,https://openai.com/careers/researcher-alignment-san-francisco/,San Francisco Bay Area.USA,2025-12-24,1/1/2050,1. AI safety & policy,"* In this role, you'll design and implement solutions to ensure AI systems follow human intent, even in complex scenarios.
* Develop alignment capabilities for subjective, context-dependent challenges.
* Design evaluations to measure AI risks and alignment with human values.
* Build tools to study model robustness and how alignment scales with increased capabilities.
* Create human-AI interaction methods that improve how people supervise and control AI systems.",Doctoral degree,Junior (1-4 years experience),"Research, Software engineering",Full-time,"$295,000 - $440,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
"Security Researcher, Agentic AI Threats",OpenAI,https://openai.com/careers/security-researcher-agentic-ai-threats-san-francisco/,San Francisco Bay Area.USA,2026-05-20,1/1/2050,1. AI safety & policy,"* In this role, you'll prepare OpenAI for security threats from advanced AI agents by identifying vulnerabilities and designing protective measures.
* Identify compromise paths that capable internal AI agents could exploit.
* Design security controls with long lead times to mitigate future threats.
* Stress-test defenses through AI agent evaluations and penetration testing.
* Monitor and predict the evolving capabilities of frontier AI systems.",Undergraduate degree or less,Junior (1-4 years experience),"Research, Information security",Full-time,"$293,000 - $405,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
Technical Staff,Redwood Research,https://www.redwoodresearch.org/careers,San Francisco Bay Area.USA,2024-12-19,1/1/2050,1. AI safety & policy,"- In this role, Redwood Research staff think carefully about threat models associated with AI, analyze countermeasures, and communicate their results.
- Analyse threat models of artificial intelligence systems and identify potential vulnerabilities.
- Develop and test countermeasures for identified AI threats using empirical methods.
- Communicate findings through research papers, focusing on safety and alignment of AI.
- Collaborate with the team to ensure AI systems are developed with safety and ethics in mind.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Software engineering,Full-time,Not Found,https://www.redwoodresearch.org/,https://www.redwoodresearch.org/jobs,https://80000hours.org/wp-content/uploads/2022/11/Redwood-Research.png,checked
"Security Engineer, Detection Platform Infrastructure",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4595463008,San Francisco Bay Area.USA,2025-03-25,1/1/2050,1. AI safety & policy,"* In this role, you'll architect and implement data pipelines that process massive amounts of security telemetry and develop ML-powered detection systems.
* Design scalable data pipelines for ingesting and processing security telemetry across rapidly growing infrastructure.
* Build and optimize ML-powered detection systems.
* Create systems that leverage Claude and other ML models to enhance detection and response capabilities.
* Develop rapid prototypes and proof-of-concepts for new security tooling and analytics capabilities.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Software engineering",Full-time,"$320,000 - $405,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,checked
"Research Engineer / Scientist, Alignment Science, London",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4610158008,London.UK,2025-04-02,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct experimental research on AI safety to help understand and steer the behavior of powerful AI systems.
* Design and run machine learning experiments to test the robustness of safety techniques.
* Implement multi-agent reinforcement learning experiments to evaluate techniques like AI Debate.
* Build tooling to efficiently evaluate LLM-generated jailbreaks and model reasoning abilities.
* Contribute to research papers, blog posts, and key AI safety efforts like Anthropic's Responsible Scaling Policy.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering",Full-time,"£225,000 - £500,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,checked
"Research Engineer / Scientist, Alignment Science",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4631822008,"San Francisco Bay Area.USA,""New York, NY.USA"",Seattle metro area.USA",2025-04-16,1/1/2050,1. AI safety & policy,"* In this role, you'll build and run machine learning experiments to understand and steer the behavior of powerful AI systems, focusing on making AI helpful, honest, and harmless.
* Contribute to exploratory research on AI safety, particularly addressing risks from powerful future systems.
* Collaborate with teams on projects such as testing safety technique.
* Design and implement evaluations to test models' reasoning abilities in safety-relevant contexts.
* Contribute to research papers, blog posts, and experiments that feed into Anthropic's AI safety efforts.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering",Full-time,"$280,000 - $690,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,checked
"Research Engineer, Interpretability",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4980430008,San Francisco Bay Area.USA,2025-11-10,1/1/2050,1. AI safety & policy,"* In this role, you'll develop tools and conduct experiments to reverse-engineer how neural networks work, helping make AI systems safer and more interpretable.
* Implement and analyze research experiments in both small toy scenarios and large-scale models.
* Set up and optimize research workflows to run efficiently and reliably at scale.
* Build tools and abstractions that support rapid experimentation for research progress.
* Develop infrastructure that helps other teams use interpretability work to enhance model safety.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Research, Software engineering",Full-time,"$315,000 - $560,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Security Engineer, Detection and Response",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4982193008,"San Francisco Bay Area.USA,""New York, NY.USA"",Seattle metro area.USA,""Washington, DC metro area.USA""",2025-11-11,1/1/2050,1. AI safety & policy,"* In this role, you'll build security solutions to monitor threats, investigate incidents, and coordinate response efforts for Anthropic's AI systems.
* Lead cybersecurity incident response efforts covering external attacks and insider threats across our technology stack.
* Develop novel tooling that may leverage LLMs to enhance detection, investigation, and response capabilities.
* Create and optimize detections, playbooks, and workflows to quickly identify and respond to potential incidents.
* Participate in on-call rotation and work cross-functionally with security and engineering teams.",Undergraduate degree or less,Mid (5-9 years experience),"Software engineering, Information security",Full-time,"$300,000 - $405,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Technical Program Manager, Security",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4989788008,"San Francisco Bay Area.USA,""New York, NY.USA"",Seattle metro area.USA",2025-11-18,1/1/2050,1. AI safety & policy,"* In this role, you'll drive execution of high-stakes security programs spanning multiple teams to meet Anthropic's Responsible Scaling Policy commitments.
* Lead infrastructure security programs like cluster hardening and security observability to protect sensitive assets including model weights.
* Coordinate complex multi-team security control rollouts requiring careful change management across engineering organizations.
* Make real-time technical trade-off decisions balancing security controls, research velocity, and operational feasibility.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Operations",Full-time,"$290,000 - $365,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Research Engineer, Cybersecurity RL",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5025624008,"San Francisco Bay Area.USA,""New York, NY.USA""",2025-12-16,1/1/2050,1. AI safety & policy,"* In this role, you'll help safely advance AI model capabilities in secure coding, vulnerability remediation, and defensive cybersecurity.
* Design and implement reinforcement learning environments for cybersecurity applications.
* Conduct experiments and evaluations to improve model performance in security domains.
* Deliver research findings into production training runs for Anthropic's AI systems.
* Collaborate with researchers, engineers, and security specialists across and outside Anthropic.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering, Information security",Full-time,"$300,000 - $405,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
Application Security Engineer,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4502508008,"San Francisco Bay Area.USA,Seattle metro area.USA,""New York, NY.USA""",2026-01-07,1/1/2050,1. AI safety & policy,"* In this role, you'll build security into every phase of the software development lifecycle for Anthropic's AI systems and internal tools.
* Lead threat modeling and secure design reviews to identify and mitigate risks early in the development process.
* Develop tooling to scale security code reviews and help developers implement secure coding practices.
* Manage vulnerability and bug bounty programs, including validation, root cause analysis, and remediation coordination.
* Create security policies, standards, and educational resources that enable all engineers to be security champions.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Software engineering",Full-time,"$300,000 - $405,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Software Engineer, Cybersecurity Products",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5063007008,"""New York, NY.USA"",San Francisco Bay Area.USA",2026-01-12,1/1/2050,1. AI safety & policy,"* In this role, you'll build AI-powered cybersecurity products, working across the stack to prototype new solutions.
* Prototype and iterate quickly on ideas based on customer feedback and learnings.
* Collaborate with research teams to develop new model capabilities for security applications.
* Engage with customers and partners to understand workflows and inform product direction.
* Apply product instincts to define what to build, working at the intersection of research and go-to-market.",Undergraduate degree or less,Mid (5-9 years experience),"Software engineering, Information security",Full-time,"$320,000 - $405,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
Technical Cyber Threat Investigator,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5066995008,"San Francisco Bay Area.USA,""New York, NY.USA""",2026-03-10,1/1/2050,1. AI safety & policy,"* In this role, you'll detect and investigate misuse of AI systems for cyber operations and develop defences against emerging threats.
* Develop abuse signals and tracking strategies to proactively identify sophisticated threat actors.
* Create actionable intelligence reports on attack vectors, vulnerabilities, and threat actor techniques targeting LLM systems.
* Conduct cross-platform threat analysis using open-source research and dark web monitoring.
* Build relationships with external intelligence partners and establish threat intelligence processes and best practices.",Undergraduate degree or less,Mid (5-9 years experience),Information security,Full-time,"$230,000 - $290,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Research Engineer / Scientist, Frontier Red Team, Cyber",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5076477008,San Francisco Bay Area.USA,2026-01-26,1/1/2050,1. AI safety & policy,"* In this role, you'll build tools and frameworks to defend against advanced AI-enabled cyber threats.
* Develop systems for AI-empowered cybersecurity like vulnerability discovery and network hardening.
* Design experiments to evaluate AI cyber capabilities in realistic security scenarios.
* Translate technical findings into compelling demonstrations for policymakers.
* Collaborate with experts in cybersecurity and AI safety to validate research directions.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Information security, Software engineering",Full-time,"$350,000 - $850,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
Staff Software Security Engineer,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5120512008,"San Francisco Bay Area.USA,""New York, NY.USA"",Seattle metro area.USA",2026-02-16,1/1/2050,1. AI safety & policy,"* In this role, you'll design and build complex security systems that protect Anthropic's AI infrastructure and maintain user trust.
* Identify systematic risks through threat modeling and build controls to address them.
* Architect identity systems and secrets management across multi-cloud environments.
* Implement cloud security controls including IAM, network segmentation, and encryption.
* Build security frameworks that empower engineering teams to work securely.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Software engineering, Information security",Full-time,"$405,000 - $485,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
"Safeguards Enforcement Analyst, Safety Evaluations",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5137183008,"San Francisco Bay Area.USA,""New York, NY.USA"",""Washington, DC metro area.USA""",2026-03-10,1/1/2050,1. AI safety & policy,"* In this role, you'll ensure AI models meet safety standards before and after launch through evaluations and cross-team coordination.
* Run and monitor safety evaluations, interpret results, and surface regressions to stakeholders.
* Partner with policy experts to identify risks, scope evaluations, and coordinate creation of new evals.
* Drive mitigation strategies when safety issues emerge from evaluation outcomes.
* Build processes and frameworks that keep evaluations high-signal and insightful as models improve.",Undergraduate degree or less,Mid (5-9 years experience),Research,Full-time,"$230,000 - $270,000",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
General Application,Center on Long-Term Risk,https://longtermrisk.org/jobs/interest/,"London.UK,Remote.Global",2022-08-23,1/1/2050,1. AI safety & policy,"""Why work at CLR: We aim to combine the best aspects of academic research (depth, scholarship, mentorship) with an altruistic mission to prevent negative future scenarios. So we leave out the less productive features of academia, such as precarious employment and publish-or-perish incentives, while adding a focus on impact and application. [...]""

",Undergraduate degree or less,Multiple experience levels,"Operations, Policy, Research","Full-time,Part-time",Not Found,https://longtermrisk.org/,https://longtermrisk.org/work-with-us/,https://80000hours.org/wp-content/uploads/2020/04/Center-on-long-term-risk.jpg,checked
Grantee,Center on Long-Term Risk,https://longtermrisk.org/grantmaking/,Remote.Global,2023-03-10,1/1/2050,1. AI safety & policy,"""We are most interested in individuals who want to make research contributions to our current priority areas. However, regardless of your background and the different areas listed there: if we believe that you can somehow do high-quality work relevant to s-risks (now or in the future), we are interested in supporting you with a grant.""",Undergraduate degree or less,Multiple experience levels,Research,Funding,Not Found,https://longtermrisk.org/,https://longtermrisk.org/work-with-us/,https://80000hours.org/wp-content/uploads/2020/04/Center-on-long-term-risk.jpg,checked
"Funding, Work That Builds Capacity to Address Risks From Transformative AI",Coefficient Giving,https://www.openphilanthropy.org/funding-for-work-that-builds-capacity-to-address-risks-from-transformative-ai/,Remote.Global,2024-08-23,1/1/2050,1. AI safety & policy,"- Funding for projects, including those helping new talent get into work focused on addressing risks from transformative AI, supporting existing talent, or contributing to the discourse about transformative AI. 
- Funding decisions are typically made in 8 weeks or less.
- Apply for grants ranging from small individual amounts to multi-year organisational projects.",Undergraduate degree or less,Multiple experience levels,"Operations, Outreach",Funding,Not Found,https://coefficientgiving.org/,https://coefficientgiving.org/about-us/careers/,https://80000hours.org/wp-content/uploads/2025/11/coefficient_giving_logo.jpg,checked
Expression of Interest,Concordia AI,https://docs.google.com/forms/d/e/1FAIpQLSefLWdsE_okD2GIWYNaMHtoibGRewwWa5CmVri-SVcXZax3Bg/viewform,"Beijing.China,Singapore.Singapore",2025-09-22,1/1/2050,1. AI safety & policy,"* Express interest in working at Concordia. For the right person, they are willing to tailor a role around one's strengths.",Undergraduate degree or less,Multiple experience levels,"Research, Policy, Outreach",Full-time,Not Found,https://concordia-ai.com/,,https://80000hours.org/wp-content/uploads/2022/05/Concordia.png,
Senior Software Engineer,Elicit,https://elicit.com/careers?ashby_jid=aa99e2e9-5b15-4cd3-ac9d-9c9177ff61c8,Remote.Global,2025-05-29,1/1/2050,1. AI safety & policy,"""Elicit is the AI research assistant. We use language models to help researchers figure out what's true and make better decisions, starting with common research tasks like literature review. You're responsible for: Shipping exciting functionality to our users; Appreciating the user needs underlying a proposed piece of work; Contributing to discussions around UX / system design / architecture; Balancing shipping features in the short term with building extensible and maintainable systems; Quickly prototyping new ideas; Taking on ownership of maintaining and building out systems [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",Full-time,Not Found,https://elicit.com/,https://elicit.com/careers,https://80000hours.org/wp-content/uploads/2023/09/Elicit.png,
