name,section,sub_section,full_name,one_sentence_summary,theory_of_change,see_also,orthodox_problems,target_case_text,broad_approach_text,some_names,estimated_ftes,critiques,funded_by,outputs_count
Supervising AIs improving AIs,Make AI solve it,,Make AI solve it / Supervising AIs improving AIs,"Build formal and empirical frameworks where AIs supervise other (stronger) AI systems via structured interactions; construct monitoring tools which enable scalable tracking of behavioural drift, benchmarks for self-modification, and robustness guarantees","Early models train ~only on human data while later models also train on early model outputs, which leads to early model problems cascading. Left unchecked this will likely cause problems, so supervision mechanisms are needed to help ensure the AI self-improvement remains legible.",,"Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",pessimistic,behavioral,"Roman Engeler, Akbir Khan, Ethan Perez",1-10,"[Automation collapse](https://www.lesswrong.com/posts/2Gy9tfjmKwkYbF9BY/automation-collapse), [Great Models Think Alike and this Undermines AI Oversight](https://arxiv.org/abs/2502.04313)","Long-Term Future Fund, lab funders",8
AI explanations of AIs,Make AI solve it,,Make AI solve it / AI explanations of AIs,"Make open AI tools to explain AIs, including AI agents. e.g. automatic feature descriptions for neuron activation patterns; an interface for steering these features; a behaviour elicitation agent that ""searches"" for a specified behaviour in frontier models.",Use AI to help improve interp and evals. Develop and release open tools to level up the whole field. Get invited to improve lab processes.,sec:White_box_safety_i_e_Interpretability_,"Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",pessimistic,cognitive,"Transluce, Jacob Steinhardt, Neil Chowdhury, Vincent Huang, Sarah Schwettmann, Robert Friel",15-30,,"Schmidt Sciences, Halcyon Futures, John Schulman, Wojciech Zaremba",5
Debate,Make AI solve it,,Make AI solve it / Debate,"In the limit, it's easier to compellingly argue for true claims than for false claims; exploit this asymmetry to get trusted work out of untrusted debaters.","""Give humans help in supervising strong agents"" + ""Align explanations with the true reasoning process of the agent"" + ""Red team models to exhibit failure modes that don't occur in normal use"" are necessary but probably not sufficient for safe AGI.",,"Value is fragile and hard to specify, Superintelligence can fool human supervisors",worst-case,engineering / cognitive,"Rohin Shah, Jonah Brown-Cohen, Georgios Piliouras, UK AISI (Benjamin Holton)",,[The limits of AI safety via debate (2022)](https://www.lesswrong.com/posts/kguLeJTt6LnGuYX4E/the-limits-of-ai-safety-via-debate),"Google, others",6
LLM introspection training,Make AI solve it,,Make AI solve it / LLM introspection training,"Train LLMs to the predict the outputs of high-quality whitebox methods, to induce general self-explanation skills that use its own 'introspective' access","Use the resulting LLMs as powerful dimensionality reduction, explaining internals in a distinct way than interpretability methods and CoT. Distilling self-explanation into the model should lead to the skill being scalable, since self-explanation skill advancement will feed off general-intelligence advancement.","[Transluce](#a:transluce), a:Anthropic","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",mixed,cognitivist science,"Belinda Z. Li, Zifan Carl Guo, Vincent Huang, Jacob Steinhardt, Jacob Andreas, Jack Lindsey",2-20,,"Schmidt Sciences, Halcyon Futures, John Schulman, Wojciech Zaremba",2
Agent foundations,Theory,,Theory / Agent foundations,"Develop philosophical clarity and mathematical formalizations of building blocks that might be useful for plans to align strong superintelligence, such as agency, optimization strength, decision theory, abstractions, concepts, etc.","Rigorously understand optimization processed and agents, and what it means for them to be aligned in a substrate independent way → identify impossibility results and necessary conditions for aligned optimizer systems → use this theoretical understanding to eventually design safe architectures that remain stable and safe under self-reflection","a:Aligning_what_, a:Tiling_agents, [Dovetail](#a:theory_dovetail)","Value is fragile and hard to specify, Corrigibility is anti-natural, Goals misgeneralize out of distribution",worst-case,cognitive,"Abram Demski, Alex Altair, Sam Eisenstat, Thane Ruthenis, Alfred Harwood, Daniel C, Dalcy K, José Pedro Faustino",,,,10
Tiling agents,Theory,,Theory / Tiling agents,An aligned agentic system modifying itself into an unaligned system would be bad and we can research ways that this could occur and infrastructure/approaches that prevent it from happening.,Build enough theoretical basis through various approaches such that AI systems we create are capable of self-modification while preserving goals.,a:Agent_foundations,"Value is fragile and hard to specify, Corrigibility is anti-natural, Goals misgeneralize out of distribution",worst-case,cognitivist science,Abram Demski,1-10,,,4
High-Actuation Spaces,Theory,,Theory / High-Actuation Spaces,"Mech interp and alignment assume a stable ""computational substrate"" (linear algebra on GPUs). If later AI uses different substrates (e.g. something neuromorphic), methods like probes and steering will not transfer. Therefore, better to try and infer goals via a ""telic DAG"" which abstracts over substrates, and so sidestep the issue of how to define intermediate representations. Category theory is intended to provide guarantees that this abstraction is valid.",Sufficiently complex mindlike entities can alter their goals in ways that cannot be predicted or accounted for under substrate-dependent descriptions of the kind sought in mechanistic interpretability. use the telic DAG to define a method analogous to factoring a causal DAG.,"[Live theory](https://www.lesswrong.com/s/aMz2JMvgXrLBkq4h3), [MoSSAIC](https://openreview.net/forum?id=n7WYSJ35FU), [Topos Institute](https://topos.institute/), a:Agent_foundations",,pessimistic,maths / philosophy,"Sahil K, Matt Farr, Aditya Arpitha Prasad, Chris Pang, Aditya Adiga, Jayson Amati, Steve Petersen, Topos, T J",1-10,,,7
Asymptotic guarantees,Theory,,Theory / Asymptotic guarantees,"Prove that if a safety process has enough resources (human data quality, training time, neural network capacity), then in the limit some system specification will be guaranteed. Use complexity theory, game theory, learning theory and other areas to both improve asymptotic guarantees and develop ways of showing convergence.",Formal verification may be too hard. Make safety cases stronger by modelling their processes and proving that they would work in the limit.,"a:Debate, a:Guaranteed_Safe_AI, a:Control","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors",pessimistic,cognitive,"AISI, Jacob Pfau, Benjamin Hilton, Geoffrey Irving, Simon Marshall, Will Kirby, Martin Soto, David Africa, davidad",5 - 10,Self-critique in [UK AISI's Alignment Team: Research Agenda](https://lesswrong.com/posts/tbnw7LbNApvxNLAg8/uk-aisi-s-alignment-team-research-agenda),AISI,4
Heuristic explanations,Theory,,Theory / Heuristic explanations,"Formalize mechanistic explanations of neural network behavior, automate the discovery of these ""heuristic explanations"" and use them to predict when novel input will lead to extreme behavior (i.e. ""Low Probability Estimation"" and ""Mechanistic Anomaly Detection"").","The current goalpost is methods whose *reasoned predictions* about properties of a neural network's outputs distribution (for a given inputs distribution) are certifiably at least as accurate as estimations via sampling. If successful for safety-relevant properties, this should allow for automated alignment methods that are both human-legible and worst-case certified, as well more efficient than sampling-based methods in most cases.","ARC Theory, ELK, mechanistic anomaly detection, [Acorn](https://acausal.org/), a:Guaranteed_Safe_AI","Goals misgeneralize out of distribution, Superintelligence can hack software supervisors",worst-case,cognitive / maths/philosophy,"Jacob Hilton, Mark Xu, Eric Neyman, Victor Lecomte, George Robinson",1-10,[Matolcsi](https://www.lesswrong.com/s/uYMw689vDFmgPEHrS),,5
Behavior alignment theory,Theory,Corrigibility,Theory / Corrigibility / Behavior alignment theory,Predict properties of future AGI (e.g. power-seeking) with formal models; formally state and prove hypotheses about the properties powerful systems will have and how we might try to change them.,Figure out hypotheses about properties powerful agents will have → attempt to rigorously prove under what conditions the hypotheses hold → test these hypotheses where feasible → design training environments that lead to more salutary properties.,"a:Agent_foundations, a:Control","Corrigibility is anti-natural, Instrumental convergence",worst-case,maths / philosophy,"Ram Potham, Michael K. Cohen, Max Harms/Raelifin, John Wentworth, David Lorell, Elliott Thornley",1-10,[Ryan Greenblatt's criticism](https://www.lesswrong.com/posts/YbEbwYWkf8mv9jnmi/the-shutdown-problem-incomplete-preferences-as-a-solution?commentId=GJAippZ6ZzCagSnDb) of one behavioural proposal,,10
Other corrigibility,Theory,Corrigibility,Theory / Corrigibility / Other corrigibility,"Diagnose and communicate obstacles to achieving robustly corrigible behavior; suggest mechanisms, tests, and escalation channels for surfacing and mitigating incorrigible behaviors",Labs are likely to develop AGI using something analogous to current pipelines. Clarifying why naive instruction-following doesn't buy robust corrigibility + building strong tripwires/diagnostics for scheming and Goodharting thus reduces risks on the likely default path.,a:Behavior_alignment_theory,"Corrigibility is anti-natural, Instrumental convergence",pessimistic,varies,Jeremy Gillen,1-10,,,9
Natural abstractions,Theory,Ontology Identification,Theory / Ontology Identification / Natural abstractions,"Develop a theory of concepts that explains how they are learned, how they structure a particular system's understanding, and how mutual translatability can be achieved between different collections of concepts.","Understand the concepts a system's understanding is structured with and use them to inspect its ""alignment/safety properties"" and/or ""retarget its search"", i.e. identify utility-function-like components inside an AI and replacing calls to them with calls to ""user values"" (represented using existing abstractions inside the AI).","a:Causal_Abstractions, representational alignment, convergent abstractions, feature universality, Platonic representation hypothesis, microscope AI","Instrumental convergence, Superintelligence can fool human supervisors, Humans cannot be first-class parties to a superintelligent value handshake",worst-case,cognitive,"John Wentworth, Paul Colognese, David Lorrell, Sam Eisenstat, Fernando Rosas",1-10,"[Chan et al (2023)](https://www.lesswrong.com/posts/gvzW46Z3BsaZsLc25/natural-abstractions-key-claims-theorems-and-critiques-1#3__A_formalization_of_abstractions_would_accelerate_alignment_research), [Soto](https://www.lesswrong.com/posts/CJjT8GMitsnKc2wgG/natural-abstractions-are-observer-dependent-a-conversation-1), [Harwood](https://www.lesswrong.com/posts/F4nzox6oh5oAdX9D3/abstractions-are-not-natural), [Soares (2023)](https://www.lesswrong.com/posts/mgjHS6ou7DgwhKPpu/a-rough-and-incomplete-review-of-some-of-john-wentworth-s)",,10
The Learning-Theoretic Agenda,Theory,Ontology Identification,Theory / Ontology Identification / The Learning-Theoretic Agenda,"Create a mathematical theory of intelligent agents that encompasses both humans and the AIs we want, one that specifies what it means for two such agents to be aligned; translate between its ontology and ours; produce formal desiderata for a training setup that produces coherent AGIs similar to (our model of) an aligned agent",Fix formal epistemology to work out how to avoid deep training problems,,"Value is fragile and hard to specify, Goals misgeneralize out of distribution, Humans cannot be first-class parties to a superintelligent value handshake",worst-case,cognitive,"Vanessa Kosoy, Diffractor, Gergely Szücs",3,[Matolcsi](https://www.lesswrong.com/posts/StkjjQyKwg7hZjcGB/a-mostly-critical-review-of-infra-bayesianism),"Survival and Flourishing Fund, ARIA, UK AISI, Coefficient Giving",6
Aligning to context,Multi-agent first,,Multi-agent first / Aligning to context,"Align AI directly to the role of participant, collaborator, or advisor for our best real human practices and institutions, instead of aligning AI to separately representable goals, rules, or utility functions.","""Many classical problems in AGI alignment are downstream of a type error about human values."" Operationalizing a correct view of human values - one that treats human values as impossible or impractical to abstract from concrete practices - will unblock value fragility, goal-misgeneralization, instrumental convergence, and pivotal-act specification.","a:Aligning_what_, a:Aligned_to_who_","Value is fragile and hard to specify, Corrigibility is anti-natural, Goals misgeneralize out of distribution, Instrumental convergence, Fair, sane pivotal processes",mixed,behavioural,"Full Stack Alignment, Meaning Alignment Institute, Plurality Institute, Tan Zhi-Xuan, Matija Franklin, Ryan Lowe, Joe Edelman, Oliver Klingefjord",5,,"ARIA, OpenAI, Survival and Flourishing Fund",8
Aligning to the social contract,Multi-agent first,,Multi-agent first / Aligning to the social contract,Generate AIs' operational values from 'social contract'-style ideal civic deliberation formalisms and their consequent rulesets for civic actors,"Formalize and apply the liberal tradition's project of defining civic principles separable from the substantive good, aligning our AIs to civic principles that bypass fragile utility-learning and intractable utility-calculation","a:Aligning_to_context, a:Aligning_what_","Value is fragile and hard to specify, Goals misgeneralize out of distribution, Instrumental convergence, Humanlike minds/goals are not necessarily safe, Fair, sane pivotal processes",mixed,cognitive,"Gillian Hadfield, Tan Zhi-Xuan, Sydney Levine, Matija Franklin, Joshua B. Tenenbaum",5 - 10,,"Deepmind, Macroscopic Ventures",8
Theory for aligning multiple AIs,Multi-agent first,,Multi-agent first / Theory for aligning multiple AIs,"Use realistic game-theory variants (e.g. evolutionary game theory, computational game theory) or develop alternative game theories to describe/predict the collective and individual behaviours of AI agents in multi-agent scenarios.","While traditional AGI safety focuses on idealized decision-theory and individual agents, it's plausible that strategic AI agents will first emerge (or are emerging now) in a complex, multi-AI strategic landscape. We need granular, realistic formal models of AIs' strategic interactions and collective dynamics to understand this future.","a:Tools_for_aligning_multiple_AIs, a:Aligning_what_","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",mixed,cognitive,"Lewis Hammond, Emery Cooper, Allan Chan, Caspar Oesterheld, Vincent Conitzer, Vojta Kovarik, Nathaniel Sauerberg, ACS Research, Jan Kulveit, Richard Ngo, Emmett Shear, Softmax, Full Stack Alignment, AI Objectives Institute, Sahil, TJ, Andrew Critch",10,,"SFF, CAIF, Deepmind, Macroscopic Ventures",12
Tools for aligning multiple AIs,Multi-agent first,,Multi-agent first / Tools for aligning multiple AIs,"Develop tools and techniques for designing and testing multi-agent AI scenarios, for auditing real-world multi-agent AI dynamics, and for aligning AIs in multi-AI settings.","Addressing multi-agent AI dynamics is key for aligning near-future agents and their impact on the world. Feedback loops from multi-agent dynamics can radically change the future AI landscape, and require a different toolset from model psychology to audit and control.","a:Theory_for_aligning_multiple_AIs, a:Aligning_what_","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",mixed,engineering / behavioral,"Andrew Critch, Lewis Hammond, Emery Cooper, Allan Chan, Caspar Oesterheld, Vincent Conitzer, Gillian Hadfield, Nathaniel Sauerberg, Zhijing Jin",10 - 15,,"Coefficient Giving, Deepmind, Cooperative AI Foundation",12
Aligned to who?,Multi-agent first,,Multi-agent first / Aligned to who?,"Technical protocols for taking seriously the plurality of human values, cultures, and communities when aligning AI to ""humanity""","use democratic/pluralist/context-sensitive principles to guide AI development, alignment, and deployment somehow. Doing it as an afterthought in post-training or the spec isn't good enough. Continuously shape AI's social and technical feedback loop on the road to AGI","a:Aligning_what_, a:Aligning_to_context","Value is fragile and hard to specify, Fair, sane pivotal processes",average,behavioral,"Joel Z. Leibo, Divya Siddarth, Séb Krier, Luke Thorburn, Seth Lazar, AI Objectives Institute, The Collective Intelligence Project, Vincent Conitzer",5 - 15,,"Future of Life Institute, Survival and Flourishing Fund, Deepmind, CAIF",9
Aligning what?,Multi-agent first,,Multi-agent first / Aligning what?,"Develop alternatives to agent-level models of alignment, by treating human-AI interactions, AI-assisted institutions, AI economic or cultural systems, drives within one AI, and other causal/constitutive processes as subject to alignment","Model multiple reality-shaping processes above and below the level of the individual AI, some of which are themselves quasi-agential (e.g. cultures) or intelligence-like (e.g. markets), will develop AI alignment into a mature science for managing the transition to an AGI civilization","a:Theory_for_aligning_multiple_AIs, a:Aligning_to_context, a:Aligned_to_who_","Value is fragile and hard to specify, Corrigibility is anti-natural, Goals misgeneralize out of distribution, Instrumental convergence, Fair, sane pivotal processes",mixed,behavioral / cognitive,"Richard Ngo, Emmett Shear, Softmax, Full Stack Alignment, AI Objectives Institute, Sahil, TJ, Andrew Critch, ACS Research, Jan Kulveit",5-10,,"Future of Life Institute, Emmett Shear",13
AGI metrics,Evals,,Evals / AGI metrics,Evals with the explicit aim of measuring progress towards full human-level generality.,Help predict timelines for risk awareness and strategy.,a:Capability_evals,,mixed,behavioural,"CAIS, CFI Kinds of Intelligence, Apart Research, OpenAI, METR, Lexin Zhou, Adam Scholl, Lorenzo Pacchiardi",10-50,"[Is the Definition of AGI a Percentage?](https://aievaluation.substack.com/p/is-the-definition-of-agi-a-percentage), [The ""Length"" of ""Horizons""](https://www.lesswrong.com/posts/PzLSuaT6WGLQGJJJD/the-length-of-horizons)","Leverhulme Trust, Open Philanthropy, Long-Term Future Fund",5
Capability evals,Evals,,Evals / Capability evals,Make tools that can actually check whether a model has a certain capability or propensity. We default to low-n sampling of a vast latent space but aim to do better.,"Keep a close eye on what capabilities are acquired when, so that frontier labs and regulators are better informed on what security measures are already necessary (and hopefully they extrapolate). You can't regulate without them.","[Deepmind's frontier safety framework](https://deepmind.google/blog/strengthening-our-frontier-safety-framework/), [Aether](https://www.lesswrong.com/posts/B8Cmtf5gdHwxb8qtT/aether-july-2025-update)",,average,behaviorist science,"METR, AISI, Apollo Research, Marrius Hobbhahn, Meg Tong, Mary Phuong, Beth Barnes, Thomas Kwa, Joel Becker",100+,"[Large Language Models Often Know When They Are Being Evaluated](https://arxiv.org/abs/2505.23836), [AI Sandbagging: Language Models can Strategically Underperform on Evaluations](https://arxiv.org/abs/2406.07358), [The Leaderboard Illusion](https://arxiv.org/abs/2504.20879), [Do Large Language Model Benchmarks Test Reliability?](https://arxiv.org/abs/2502.03461)","basically everyone. Google, Microsoft, Open Philanthropy, LTFF, Governments etc",34
Autonomy evals,Evals,,Evals / Autonomy evals,"Measure an AI's ability to act autonomously to complete long-horizon, complex tasks.","By measuring how long and complex a task an AI can complete (its ""time horizon""), we can track capability growth and identify when models gain dangerous autonomous capabilities (like R&D acceleration or replication).","a:Capability_evals, [OpenAI Preparedness](https://openai.com/index/updating-our-preparedness-framework/), [Anthropic RSP](https://www.anthropic.com/rsp-updates)",,average,behaviorist science,"METR, Thomas Kwa, Ben West, Joel Becker, Beth Barnes, Hjalmar Wijk, Tao Lin, Giulio Starace, Oliver Jaffe, Dane Sherburn, Sanidhya Vijayvargiya, Aditya Bharat Soni, Xuhui Zhou",10-50,"[Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity.](https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/) [The ""Length"" of ""Horizons""](https://www.lesswrong.com/posts/PzLSuaT6WGLQGJJJD/the-length-of-horizons)","The Audacious Project, Open Philanthropy",13
WMD evals (Weapons of Mass Destruction),Evals,,Evals / WMD evals (Weapons of Mass Destruction),"Evaluate whether AI models possess dangerous knowledge or capabilities related to biological and chemical weapons, such as biosecurity or chemical synthesis.","By benchmarking and tracking AI's knowledge of biology and chemistry, we can identify when models become capable of accelerating WMD development or misuse, allowing for timely intervention.","a:Capability_evals, a:Autonomy_evals, a:Various_Redteams",,pessimistic,behaviorist science,"Lennart Justen, Haochen Zhao, Xiangru Tang, Ziran Yang, Aidan Peppin, Anka Reuel, Stephen Casper",10-50,[The Reality of AI and Biorisk](https://arxiv.org/abs/2412.01946),"Open Philanthropy, UK AI Safety Institute (AISI), frontier labs, Scale AI, various academic institutions (Peking University, Yale, etc.), Meta",6
Situational awareness and self-awareness evals,Evals,,Evals / Situational awareness and self-awareness evals,"Evaluate if models understand their own internal states and behaviors, their environment, and whether they are in a test or real-world deployment.","If an AI can distinguish between evaluation and deployment (""evaluation awareness""), it might hide dangerous capabilities (scheming/sandbagging). By measuring self- and situational-awareness, we can better assess this risk and build more robust evaluations.","a:Sandbagging_evals, a:Various_Redteams, sec:Model_psychology","Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",worst-case,behaviorist science,"Jan Betley, Xuchan Bao, Martín Soto, Mary Phuong, Roland S. Zimmermann, Joe Needham, Giles Edkins, Govind Pimpale, Kai Fronsdal, David Lindner, Lang Xiong, Xiaoyan Bai",30-70,"[Lessons from a Chimp: AI ""Scheming"" and the Quest for Ape Language](https://arxiv.org/abs/2507.03409), [It's hard to make scheming evals look realistic for LLMs](https://www.lesswrong.com/posts/TBk2dbWkg2F7dB3jb/it-s-hard-to-make-scheming-evals-look-realistic-for-llms)","frontier labs (Google DeepMind, Anthropic), Open Philanthropy, The Audacious Project, UK AI Safety Institute (AISI), AI Safety Support, Apollo Research, METR",11
Steganography evals,Evals,,Evals / Steganography evals,"evaluate whether models can hide secret information or encoded reasoning in their outputs, such as in chain-of-thought scratchpads, to evade monitoring.","if models can use steganography, they could hide deceptive reasoning, bypassing safety monitoring and control measures. By evaluating this capability, we can assess the risk of a model fooling its supervisors.","a:AI_deception_evals, a:Chain_of_thought_monitoring","A boxed AGI might exfiltrate itself by steganography, spearphishing, Superintelligence can fool human supervisors",worst-case,behavioral,"Antonio Norelli, Michael Bronstein",1-10,Chain-of-Thought Is Already Unfaithful (So Steganography is Irrelevant): [Reasoning Models Don't Always Say What They Think.](https://assets.anthropic.com/m/71876fabef0f0ed4/original/reasoning_models_paper.pdf),"Anthropic (and its general funders, e.g., Google, Amazon)",5
AI deception evals,Evals,,Evals / AI deception evals,"research demonstrating that AI models, particularly agentic ones, can learn and execute deceptive behaviors such as alignment faking, manipulation, and sandbagging.","proactively discover, evaluate, and understand the mechanisms of AI deception (e.g., alignment faking, manipulation, agentic deception) to prevent models from fooling human supervisors and causing harm.","a:Situational_awareness_and_self_awareness_evals, a:Steganography_evals, a:Sandbagging_evals, a:Chain_of_thought_monitoring","Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",worst-case,behavioral / engineering,"Cadenza, Fred Heiding, Simon Lermen, Andrew Kao, Myra Cheng, Cinoo Lee, Pranav Khadpe, Satyapriya Krishna, Andy Zou, Rahul Gupta",30-80,"A central criticism is that the evaluation scenarios are ""artificial and contrived"". [the void](https://nostalgebraist.tumblr.com/post/785766737747574784/the-void) and [Lessons from a Chimp](https://arxiv.org/abs/2507.03409) argue this research is ""overattributing human traits"" to models.","Labs, academic institutions (e.g., Harvard, CMU, Barcelona Institute of Science and Technology), NSFC, ML Alignment Theory & Scholars (MATS) Program, FAR AI",13
AI scheming evals,Evals,,Evals / AI scheming evals,"Evaluate frontier models for scheming, a sophisticated, strategic form of AI deception where a model covertly pursues a misaligned, long-term objective while deliberately faking alignment and compliance to evade detection by human supervisors and safety mechanisms.","Robust evaluations must move beyond checking final outputs and probe the model's reasoning to verify that alignment is genuine, not faked, because capable models are capable of strategically concealing misaligned goals (scheming) to pass standard behavioural evaluations.","a:AI_deception_evals, a:Situational_awareness_and_self_awareness_evals",Superintelligence can fool human supervisors,pessimistic,behavioral / engineering,"Bronson Schoen, Alexander Meinke, Jason Wolfe, Mary Phuong, Rohin Shah, Evgenia Nitishinskaya, Mikita Balesni, Marius Hobbhahn, Jérémy Scheurer, Wojciech Zaremba, David Lindner",30-60,"[No, LLMs are not ""scheming""](https://www.strangeloopcanon.com/p/no-llms-are-not-scheming)","OpenAI, Anthropic, Google DeepMind, Open Philanthropy",7
Sandbagging evals,Evals,,Evals / Sandbagging evals,"Evaluate whether AI models deliberately hide their true capabilities or underperform, especially when they detect they are in an evaluation context.","If models can distinguish between evaluation and deployment contexts (""evaluation awareness""), they might learn to ""sandbag"" or deliberately underperform to hide dangerous capabilities, fooling safety evaluations. By developing evaluations for sandbagging, we can test whether our safety methods are being deceived and detect this behavior before a model is deployed.","a:AI_deception_evals, a:Situational_awareness_and_self_awareness_evals, a:Various_Redteams","Superintelligence can fool human supervisors, Superintelligence can hack software supervisors",pessimistic,behaviorist science,"Teun van der Weij, Cameron Tice, Chloe Li, Johannes Gasteiger, Joseph Bloom, Joel Dyer",10-50,"The main external critique, from sources like ""[the void](https://nostalgebraist.tumblr.com/post/785766737747574784/the-void)"" and ""[Lessons from a Chimp](https://arxiv.org/abs/2507.03409)"", is that this research ""overattribut\[es\] human traits"" to models. It argues that what's being measured isn't genuine sandbagging but models ""playing-along-with-drama behaviour"" in response to ""artificial and contrived"" evals.","Anthropic (and its funders, e.g., Google, Amazon), UK Government (funding the AI Security Institute)",9
Self-replication evals,Evals,,Evals / Self-replication evals,"evaluate whether AI agents can autonomously replicate themselves by obtaining their own weights, securing compute resources, and creating copies of themselves.","if AI agents gain the ability to self-replicate, they could proliferate uncontrollably, making them impossible to shut down. By measuring this capability with benchmarks like RepliBench, we can identify when models cross this dangerous ""red line"" and implement controls before losing containment.","a:Autonomy_evals, a:Situational_awareness_and_self_awareness_evals","Instrumental convergence, A boxed AGI might exfiltrate itself by steganography, spearphishing",worst-case,behaviorist science,"Sid Black, Asa Cooper Stickland, Jake Pencharz, Oliver Sourbut, Michael Schmatz, Jay Bailey, Ollie Matthews, Ben Millwood, Alex Remedios, Alan Cooney, Xudong Pan, Jiarun Dai, Yihe Fan",10-20,[AI Sandbagging](https://arxiv.org/abs/2406.07358),UK Government (via UK AI Safety Institute),3
Various Redteams,Evals,,Evals / Various Redteams,attack current models and see what they do / deliberately induce bad things on current frontier models to test out our theories / methods.,"to ensure models are safe, we must actively try to break them. By developing and applying a diverse suite of attacks (e.g., in novel domains, against agentic systems, or using automated tools), researchers can discover vulnerabilities, specification gaming, and deceptive behaviors before they are exploited, thereby informing the development of more robust defenses.",a:Other_evals,"A boxed AGI might exfiltrate itself by steganography, spearphishing, Goals misgeneralize out of distribution",average,behaviorist science,"Ryan Greenblatt, Benjamin Wright, Aengus Lynch, John Hughes, Samuel R. Bowman, Andy Zou, Nicholas Carlini, Abhay Sheshadri",100+,"[Claude Sonnet 3.7 (often) knows when it's in alignment evaluations](https://www.alignmentforum.org/posts/E3daBewppAiECN3Ao/claude-sonnet-3-7-often-knows-when-it-s-in-alignment), [Red Teaming AI Red Teaming.](https://arxiv.org/html/2507.05538v1)","Frontier labs (Anthropic, OpenAI, Google), government (UK AISI), Open Philanthropy, LTFF, academic grants.",57
Other evals,Evals,,Evals / Other evals,"A collection of miscellaneous evaluations for specific alignment properties, such as honesty, shutdown resistance and sycophancy.","By developing novel benchmarks for specific, hard-to-measure properties (like honesty), critiquing the reliability of existing methods (like cultural surveys), and improving the formal rigor of evaluation systems (like LLM-as-Judges), researchers can create a more robust and comprehensive suite of evaluations to catch failures missed by standard capability or safety testing.",other more specific sections on evals,,average,behaviorist science,"Richard Ren, Mantas Mazeika, Andrés Corrada-Emmanuel, Ariba Khan, Stephen Casper",20-50,"[The Unreliability of Evaluating Cultural Alignment in LLMs](https://arxiv.org/abs/2503.08688), [The Leaderboard Illusion](https://arxiv.org/abs/2504.20879)","Lab funders (OpenAI), Open Philanthropy (which funds CAIS, the organization for the MASK benchmark), academic institutions. N/A (as a discrete amount). This work is part of the ""tens of millions"" budgets for broader evaluation and red-teaming efforts at labs and independent organizations.",20
